data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2,totale_casi_ieri,totale_nuovi_casi,dimessi_guariti_ieri,nuovi_dimessi_guariti,deceduti_ieri,nuovi_deceduti,terapia_intensiva_ieri,nuovi_terapia_intensiva,tamponi_ieri,nuovi_tamponi,casi_testati_ieri,nuovi_casi_testati
2021-11-12T17:00:00,ITA,14,Molise,41.55774754,14.65916051,4,1,5,206,211,25,29,14090,503,,,14804,291011,257100,,0,,,14804,0,277981,13030,ITF,ITF2,14775,29,14088,2,501,2,1,0,290195,816,256288,812
2021-11-12T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,65,6,71,3002,3073,131,386,77385,1213,,,81671,2415450,514623,386 nuovi positivi di cui 136 test antigenici confermati da test molecolare,2,,,68439,13232,690494,1724956,ITH,ITH1,81285,386,77132,253,1211,2,5,1,2407162,8288,513759,864
2021-11-12T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,20,2,22,635,657,20,65,48014,1384,,,50055,1383524,422237,,0,,,34261,15794,735625,647899,ITH,ITH2,49990,65,47969,45,1384,0,2,0,1376345,7179,421740,497
2021-11-12T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,242,24,266,5287,5553,251,397,371365,11849,,,388767,8507723,2656538,,2,,,363650,25117,3718759,4788964,ITC,ITC1,388370,397,371225,140,11843,6,23,1,8455743,51980,2651535,5003
2021-11-12T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,159,19,178,3453,3631,66,265,264923,6861,,,275415,4418835,1552625,,1,,,274129,1286,2975941,1442894,ITF,ITF4,275150,265,264727,196,6858,3,19,0,4399207,19628,1549811,2814
2021-11-12T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,47,8,55,1701,1756,54,96,73510,1679,,,76945,2186822,1109922,,1,,Si segnala il decesso dei paz.:  - 1 donna 95 aa Residente nella Provincia di Nuoro,76841,104,1333425,853397,ITG,ITG2,76849,96,73469,41,1678,1,8,0,2176766,10056,1107835,2087
2021-11-12T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,308,50,358,8627,8985,126,546,297743,7085,,,313813,6981486,2621505,DECEDUTI: N. 1 IL 11/11/21 - N. 2 IL 10/11/21 - N. 1 IL 09/11/21 - N. 1 IL 25/10/21 - N. 1 IL 29/09/21 - N. 1 IL 24/06/21,3,,,313813,0,3423296,3558190,ITG,ITG1,313267,546,297330,413,7078,7,47,3,6958377,23109,2615517,5988
2021-11-12T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,257,28,285,6842,7127,147,430,279321,7325,,,293773,7450031,3179428,,5,,,288636,5137,4882412,2567619,ITI,ITI1,293343,430,279043,278,7320,5,24,4,7421529,28502,3170072,9356
2021-11-12T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,38,6,44,1430,1474,28,96,63178,1472,,,66124,2292580,462682,,0,,,66124,0,1208842,1083738,ITI,ITI2,66028,96,63111,67,1471,1,6,0,2282946,9634,462149,533
2021-11-12T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,7,0,7,108,115,15,19,11822,475,,,12412,250103,94032,,0,,,11524,888,113910,136193,ITC,ITC2,12393,19,11819,3,474,1,0,0,248426,1677,93907,125
2021-11-12T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,243,55,298,14574,14872,648,1029,462556,11870,,,489298,14849423,2222710,Nei valori riportati per le terapie intensive si è verificato un disallineamento temporale del flusso informativo pertanto per convenzione è stato riportato  0 dimessi da TI  invece del n. 2 effettivi che include anche i negativizzati.,4,,,473351,15947,7263198,7586225,ITH,ITH3,488269,1029,462182,374,11863,7,52,3,14771365,78058,2219154,3556
